Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1012275  Y 1041102
X 1018279  Y 1065472
X 1007685  Y 1084188
X 1027228  Y 1084543
X 1014043  Y 1109854
X 1024637  Y 1122803
X 1014161  Y 1127744
X 1011602  Y 1152696
X 1028625  Y 1164047
X 1009515  Y 1168807
X 1024559  Y 1175850
X 1021559  Y 1177287
X 1019043  Y 1177669
X 1006980  Y 1185783
X 1025460  Y 1220039
X 1029704  Y 1227283
X 1006271  Y 1228279
X 1029657  Y 1235287
X 1005122  Y 1242992
X 1025381  Y 1247200
X 1029649  Y 1250877
X 1014551  Y 1341425
X 1025031  Y 1353196
X 1036448  Y 1378035
X 1053881  Y 1369657
X 1047161  Y 1365322
X 1053996  Y 1364314
X 1052976  Y 1334251
X 1032972  Y 1333897
X 1047976  Y 1333842
X 1032956  Y 1324133
X 1033062  Y 1314279
X 1040771  Y 1309157
X 1033362  Y 1303480
X 1042169  Y 1296893
X 1050417  Y 1295850
X 1033362  Y 1291110
X 1053153  Y 1290519
X 1041728  Y 1287543
X 1049948  Y 1284196
X 1033169  Y 1278744
X 1052267  Y 1276342
X 1043023  Y 1272594
X 1033047  Y 1270622
X 1051712  Y 1267952
X 1033000  Y 1262783
X 1037940  Y 1253669
X 1037933  Y 1251279
X 1043102  Y 1250633
X 1039456  Y 1241503
X 1051035  Y 1241476
X 1035500  Y 1241161
X 1049169  Y 1194964
X 1043980  Y 1187988
X 1031177  Y 1187559
X 1043925  Y 1178594
X 1043976  Y 1164047
X 1033716  Y 1163893
X 1046515  Y 1163799
X 1041413  Y 1154905
X 1039003  Y 1153330
X 1037157  Y 1151102
X 1042177  Y 1122094
X 1032055  Y 1103964
X 1046590  Y 1102681
X 1053145  Y 1097496
X 1046700  Y 1092157
X 1050535  Y 1079007
X 1030523  Y 1062409
X 1048917  Y 1048448
X 1052622  Y 1048389
X 1043236  Y 1034629
X 1039350  Y 1014968
X 1070602  Y 1038850
X 1056460  Y 1040133
X 1069968  Y 1050637
X 1068098  Y 1060885
X 1072551  Y 1075948
X 1075846  Y 1095137
X 1062397  Y 1109503
X 1068748  Y 1112244
X 1055507  Y 1124838
X 1059129  Y 1135988
X 1068059  Y 1149649
X 1067972  Y 1153133
X 1067854  Y 1157192
X 1067688  Y 1161314
X 1062598  Y 1167456
X 1057736  Y 1176933
X 1057787  Y 1186429
X 1057492  Y 1196389
X 1057696  Y 1206933
X 1058228  Y 1217224
X 1058232  Y 1226704
X 1062905  Y 1231409
X 1062669  Y 1241480
X 1055133  Y 1249968
X 1079216  Y 1252157
X 1057968  Y 1253413
X 1069019  Y 1266775
X 1062188  Y 1276425
X 1069425  Y 1277011
X 1069692  Y 1298137
X 1058712  Y 1298377
X 1063555  Y 1302279
X 1063704  Y 1309307
X 1063653  Y 1315740
X 1064688  Y 1319559
X 1067397  Y 1321503
X 1071086  Y 1323933
X 1078984  Y 1324330
X 1075114  Y 1336586
X 1078976  Y 1340279
X 1075622  Y 1343153
X 1066704  Y 1347547
X 1065047  Y 1356429
X 1066043  Y 1364291
X 1063996  Y 1388161
X 1089188  Y 1388043
X 1081909  Y 1343377
X 1084740  Y 1341066
X 1096535  Y 1338677
X 1103862  Y 1338669
X 1103649  Y 1332275
X 1089078  Y 1322791
X 1084712  Y 1322460
X 1093011  Y 1321649
X 1085074  Y 1312783
X 1085637  Y 1302141
X 1099212  Y 1295996
X 1083007  Y 1253074
X 1097417  Y 1140834
X 1092562  Y 1139106
X 1091933  Y 1135744
X 1092232  Y 1133338
X 1092122  Y 1131031
X 1091409  Y 1123468
X 1089318  Y 1121496
X 1091326  Y 1119488
X 1089070  Y 1117535
X 1091287  Y 1115551
X 1091188  Y 1113425
X 1083248  Y 1111944
X 1089417  Y 1111602
X 1090909  Y 1108984
X 1090889  Y 1099818
X 1103161  Y 1061484
X 1104814  Y 1050649
X 1087814  Y 1049326
X 1084125  Y 1049181
X 1102602  Y 1041519
X 1091677  Y 1040716
X 1084204  Y 1025137
X 1090011  Y 1012251
X 1129287  Y 1002992
X 1119303  Y 1003133
X 1115728  Y 1044464
X 1128822  Y 1046444
X 1115850  Y 1048992
X 1115811  Y 1052795
X 1115685  Y 1056964
X 1115724  Y 1060661
X 1128543  Y 1141015
X 1112043  Y 1246598
X 1128822  Y 1254062
X 1127255  Y 1255740
X 1120952  Y 1256484
X 1113984  Y 1258885
X 1126346  Y 1260649
X 1126283  Y 1263437
X 1120500  Y 1265110
X 1127685  Y 1265366
X 1125641  Y 1271141
X 1108472  Y 1296240
X 1108633  Y 1310909
X 1108629  Y 1315590
X 1124307  Y 1344263
X 1115992  Y 1344362
X 1119574  Y 1366299
X 1119877  Y 1371118
X 1129334  Y 1373980
X 1125948  Y 1375614
X 1136948  Y 1381933
X 1131405  Y 1377842
X 1142082  Y 1368472
X 1137185  Y 1368350
X 1137031  Y 1364031
X 1141515  Y 1358066
X 1139188  Y 1354893
X 1142570  Y 1353106
X 1151748  Y 1353082
X 1139519  Y 1351059
X 1142200  Y 1348488
X 1152188  Y 1348480
X 1132472  Y 1344492
X 1138145  Y 1297251
X 1142311  Y 1292070
X 1136952  Y 1281700
X 1142586  Y 1281602
X 1134515  Y 1279070
X 1139578  Y 1278834
X 1145070  Y 1278688
X 1142637  Y 1275633
X 1137094  Y 1275204
X 1139818  Y 1271334
X 1134393  Y 1271326
X 1145023  Y 1271145
X 1136905  Y 1267035
X 1142204  Y 1266751
X 1144736  Y 1263169
X 1134468  Y 1263169
X 1139578  Y 1263122
X 1140901  Y 1256027
X 1153645  Y 1246905
X 1144854  Y 1245618
X 1145925  Y 1230055
X 1134590  Y 1229318
X 1133511  Y 1220665
X 1144826  Y 1215767
X 1146137  Y 1206055
X 1150614  Y 1200775
X 1150480  Y 1190933
X 1150440  Y 1181425
X 1146027  Y 1176771
X 1144456  Y 1171736
X 1141740  Y 1166251
X 1145578  Y 1157271
X 1130232  Y 1135314
X 1130255  Y 1133188
X 1142996  Y 1132767
X 1130346  Y 1131157
X 1132807  Y 1129401
X 1130511  Y 1127433
X 1132996  Y 1125437
X 1130681  Y 1123464
X 1132724  Y 1121511
X 1131417  Y 1119480
X 1133566  Y 1117574
X 1131531  Y 1115562
X 1130204  Y 1113657
X 1131346  Y 1111649
X 1137775  Y 1109811
X 1131275  Y 1108779
X 1133692  Y 1102236
X 1144775  Y 1101976
X 1148070  Y 1081728
X 1142657  Y 1003181
X 1164484  Y 1003803
X 1169594  Y 1032775
X 1172712  Y 1037937
X 1172535  Y 1045318
